,fund,matched_firm,firm_confidence,cik_no_fund,form_d_fund_id,crd_no_firm,form_adv_firm_id
249,Potomac Capital Partners V,West Potomac Capital,0.6858777605548793,1685756,60073,309094,
250,Micromem Technologies,Income Technologies,0.6520463747260246,1085921,28312,284678,
251, H Limited Partnership,Artisan Partners Limited Partnership,0.7075839629594177,1438809,31450,150114,83.0
252,Polestar Offshore Fund,Mark Offshore Management,0.827317054507898,1312570,29806,109455,
253,Global Equity Absolute Return Investors Cayman,Absolute Equity Managers,0.8458882132148111,1703689,39501,158727,
254,Alphadyne International Fund,Alphadyne Asset Management,0.8366976267198079,1457342,31750,138564,
255,Midland States Bancorp,Midland Advisors,0.9028873312738602,1466026,32057,106519,
256,Man Ahl Crossroads,Financial Crossroads,0.714190287005189,1697105,39025,120610,
257,Clearops,Clearvest,0.98259256631743,1789512,60197,167786,
258,Walton Street Real Estate Debt Fund Ii Scsp,S,0.9999999999999999,1750802,60093,108401,
259,Advisers Investment Trust,Trust Investment Advisors,0.5461395205227075,1516523,24806,105330,5031.0
260,Medical Alarm Concepts Holdings,Neptune Holdings,0.8775721297461362,1443089,24527,132750,
261,Caro Kann Capital Fund,Caro Kann Capital,0.5248410753433995,1631296,36368,174879,
262,Global Moat Fund,Emet Fund Global Advisors,0.8645668499971519,1636453,36554,315189,
263,Dynamk Life Sciences Fund,Valence Life Sciences,0.9348255934321849,1718277,60086,161640,
264,Urban Innovation Selects I,Urban Innovation Fund,0.6717358486883666,1929487,159935,284786,
265,Crescent Senior Secured Floating Rate Loan Fund Cayman,Invesco Senior Secured Management,0.9866654013755245,1339820,30083,107590,11693.0
266,Spo Global, Global,0.6816925737407538,716778,21248,161526,
267,Ryan Specialty Group,Retirement Specialty Group,0.8108382878462089,1566035,34329,313166,
268,Dih Grande Lakes,Diamond Lake Capital,0.9668695996924841,1767102,45055,314605,
269,Pedevco,Levco Capital,0.8830799132836207,1141197,23319,161117,
270,Us Research Equity Extended Fund Cayman,Equity Fund Research,0.7957021938909602,1666368,37658,128818,
271,Pandora Select Fund,Creandum Select Fund Manager Ab,0.889644016095709,1263713,29371,312610,
