cik_no,fund_name,matched_fund_name,matched_firm_name,related_partner,matched_owner_name,crd_no_fund,matched_fund_confidence,crd_no_firm,matched_firm_confidence,crd_no_owner,matched_firmowners_confidence
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Derek Ciernia,Ciernia Derek Michael,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6116034950354456
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Derek Ciernia,Ciernia Derek Michael,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6116034950354456
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Derek Ciernia,Ciernia Derek Michael,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6116034950354456
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Derek Ciernia,Ciernia Derek Michael,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6116034950354456
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Derek Ciernia,Ciernia Derek Michael,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6116034950354456
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Derek Ciernia,Ciernia Derek Michael,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6116034950354456
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Derek Ciernia,Ciernia Derek Michael,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6116034950354456
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wiencke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.7768445388188597
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wiencke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.7768445388188597
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wiencke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.7768445388188597
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wiencke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.7768445388188597
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wiencke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.7768445388188597
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wiencke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.7768445388188597
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wiencke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.7768445388188597
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wieneke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.5497541095080941
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wieneke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.5497541095080941
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wieneke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.5497541095080941
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wieneke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.5497541095080941
